round	clue_value	daily_double_value	category	comments	question	answer	air_date	notes
1	200	0	HAUNTING LITERATURE		Scrooge hears from this man that even after being dead for 7 years, he found "no rest, no peace. incessant torture of remorse\"	Jacob Marley	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
1	400	0	HAUNTING LITERATURE		The ghost of Delbert Grady advises Jack Torrance on family matters in this novel; that does not work out well for anybody	The Shining	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
1	600	0	HAUNTING LITERATURE		The ghost of Catherine haunts Heathcliff until he himself exits the land of the living in this 1847 novel	Wuthering Heights	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
1	800	0	HAUNTING LITERATURE		In a sequel, this character plays for the New Orleans Saints, crashes the Exxon Valdez & sees the ghost of Jenny, his childhood friend	Forrest Gump	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
1	1000	0	HAUNTING LITERATURE		166 ghosts, one the president's son, exist in a sort of pre-afterlife in George Saunders' "Lincoln in" this space	the Bardo	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
1	200	0	NATIVE AMERICANS		Mescalero Apaches refer to this big predator as "my grandfather" & forbid bringing its claws or skins onto their reservation	bears	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
1	400	0	NATIVE AMERICANS		The people of Red Mountain are battling to protect their Nev. homeland at Thacker Pass from an open-pit mine for this battery element	lithium	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
1	600	0	NATIVE AMERICANS		For 1968 actions at Tan Son Nhut Air Base, in 2022 Dwight Birdwell became the most recent of the 33 recipients of this	the Medal of Honor	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
1	800	0	NATIVE AMERICANS		Mohawk "Skywalkers" helped build much of Manhattan's skyline & this bridge to Fort Lee, New Jersey	the George Washington Bridge	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
1	1000	0	NATIVE AMERICANS		Thunderbird Park in Victoria, B.C. is renowned for its collection of these monumental carvings, some more than 40 feet high	totem poles	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
1	200	0	MOVIES BY GOOGLE SEARCH	(Ken: That might be made by a character in each film.)	\"Kansas to Emerald City distance in miles, no traffic"; "red slippers from witch, curse?"; "winged monkeys unionized?\"	The Wizard of Oz	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
1	400	0	MOVIES BY GOOGLE SEARCH	(Ken: That might be made by a character in each film.)	\"Makeup that makes you look like a rock"; "Panem child labor laws"; "are these berries I found poisonous?\"	The Hunger Games	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
1	600	0	MOVIES BY GOOGLE SEARCH	(Ken: That might be made by a character in each film.)	\"Vegas flight for bachelorette but cheap"; "stomach hurts trying on dresses, why?"; "'Hold On' by Wilson Phillips lyrics\"	Bridesmaids	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
1	800	0	MOVIES BY GOOGLE SEARCH	(Ken: That might be made by a character in each film.)	\"How to get rid of fairy tale creatures in swamp", "can you cook waffles if you have hooves?", "donkey-dragon power couples\"	Shrek	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
1	1000	0	MOVIES BY GOOGLE SEARCH	(Ken: That might be made by a character in each film.)	\"Cabbie weekly salary"; "Charles Palantine campaign woman name\"	Taxi Driver	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
1	200	0	PEOPLE		Crop scientist M.S. Swaminathan helped end famine in this country & was known as the father of its green revolution	India	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
1	400	0	PEOPLE		Gavin Newsom appointed Laphonza Butler to take this woman's seat in the U.S. Senate after her death at age 90	Dianne Feinstein	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
1	600	0	PEOPLE		Ernie Barnes' 1976 painting "The Sugar Shack" was used in the credits of this dyn-o-mite '70s sitcom	Good Times	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
1	1000	0	PEOPLE		She first gained fame for her Vietnam Veterans Memorial; more recently she designed New York City's Museum of Chinese in America	Maya Lin	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
1	200	0	IT'S AN EX-CAR FOR A REASON		The Corvair from this make that also gave us the Corvette got bad PR from being declared "unsafe at any speed\"	Chevrolet (Chevy)	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
1	400	0	IT'S AN EX-CAR FOR A REASON		This company's underpowered energy crisis-era Mustang II is, per Motor Trend, "the Mustang everyone loves to hate\"	Ford	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
1	600	0	IT'S AN EX-CAR FOR A REASON		J.D. Power: "Even budget buyers have their standards, so as 2021 dawns", this "Grand" Dodge "is finally going to the last roundup\"	the Grand Caravan	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
1	800	0	IT'S AN EX-CAR FOR A REASON		An auto writer found the Aztek from this GM brand looked "like a Transformer figure based on a Dust Buster\"	Pontiac	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
1	1000	0	IT'S AN EX-CAR FOR A REASON		Road & Track said this 3-letter brand's Gremlin, launched on April Fools' Day 1970, "stretched the definition of car\"	AMC (American Motors)	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
1	200	0	CROSSWORD CLUES "C\"		A container like the Igloo Party Bar (6 letters)	a cooler	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
1	400	3800	CROSSWORD CLUES "C\"		Ohio hoopster or offhand attitude (8 letters)	Cavalier	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
1	600	0	CROSSWORD CLUES "C\"		A merchant of Gouda (12 letters)	a cheesemonger	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
1	800	0	CROSSWORD CLUES "C\"		An official rebuke in Congress (7 letters)	a censure	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
1	1000	0	CROSSWORD CLUES "C\"		A squid or nautilus (10 letters)	a cephalopod	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
2	400	0	RELIGION		In Hinduism, it's the law of cause & effect by which one's actions influence one's present & future lives	karma	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
2	800	3000	RELIGION		Perun was the thunder god of the ancient Slavs, Perundan was this day of the week	Thursday	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
2	1200	0	RELIGION		The name of this religion means "way of the gods", or kami	Shinto	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
2	1600	0	RELIGION		A Christian doctrine says that humans are born in this 2-word fallen state	original sin	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
2	2000	0	RELIGION		In Judaism the high holy days begin with this 2-day observance & end with Yom Kippur	Rosh Hashanah	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
